"Kod";"Nazwa";"urodzenia żywe na 1000 ludności;2021;[-]";"urodzenia żywe na 1000 ludności;2022;[-]";
2063000;"Powiat m. Suwałki";9,74;8,58;
2201000;"Powiat bytowski";10,47;8,97;
2202000;"Powiat chojnicki";10,68;9,96;
2203000;"Powiat człuchowski";8,37;7,52;
2204000;"Powiat gdański";10,11;8,54;
2205000;"Powiat kartuski";14,27;12,50;
2206000;"Powiat kościerski";10,76;9,52;
2207000;"Powiat kwidzyński";8,56;7,24;
2208000;"Powiat lęborski";9,31;8,24;
2209000;"Powiat malborski";7,95;7,32;
2210000;"Powiat nowodworski";7,76;7,15;
2211000;"Powiat pucki";10,03;8,66;
2212000;"Powiat słupski";8,04;7,73;
2213000;"Powiat starogardzki";9,77;9,07;
2214000;"Powiat tczewski";9,23;8,52;
2215000;"Powiat wejherowski";11,32;10,28;
2216000;"Powiat sztumski";7,59;6,97;
2261000;"Powiat m. Gdańsk";10,61;9,65;
2262000;"Powiat m. Gdynia";8,11;7,06;
2263000;"Powiat m. Słupsk";7,68;7,53;
2264000;"Powiat m. Sopot";6,05;5,20;
2401000;"Powiat będziński";6,65;6,31;
2402000;"Powiat bielski";9,47;8,39;
2403000;"Powiat cieszyński";8,64;7,97;
2404000;"Powiat częstochowski";7,11;7,09;
2405000;"Powiat gliwicki";8,23;7,62;
2406000;"Powiat kłobucki";7,57;7,72;
2407000;"Powiat lubliniecki";8,60;7,48;
2408000;"Powiat mikołowski";8,67;7,63;
2409000;"Powiat myszkowski";6,79;6,65;
2410000;"Powiat pszczyński";9,92;8,94;
2411000;"Powiat raciborski";7,46;7,07;
2412000;"Powiat rybnicki";8,82;8,11;
2413000;"Powiat tarnogórski";7,80;7,14;
2414000;"Powiat bieruńsko-lędziński";9,86;7,83;
2415000;"Powiat wodzisławski";8,04;7,48;
2416000;"Powiat zawierciański";6,60;6,44;
2417000;"Powiat żywiecki";8,96;8,37;
2461000;"Powiat m. Bielsko-Biała";8,25;7,56;
2462000;"Powiat m. Bytom";8,19;6,73;
2463000;"Powiat m. Chorzów";8,27;6,85;
2464000;"Powiat m. Częstochowa";6,65;6,46;
2465000;"Powiat m. Dąbrowa Górnicza";6,61;5,20;
2466000;"Powiat m. Gliwice";7,88;7,42;
2467000;"Powiat m. Jastrzębie-Zdrój";6,98;6,73;
2468000;"Powiat m. Jaworzno";7,41;6,75;
2469000;"Powiat m. Katowice";8,01;7,45;
2470000;"Powiat m. Mysłowice";8,78;7,86;
2471000;"Powiat m. Piekary Śląskie";7,48;6,78;
2472000;"Powiat m. Ruda Śląska";8,25;7,41;
2473000;"Powiat m. Rybnik";8,11;7,23;
2474000;"Powiat m. Siemianowice Śląskie";7,59;7,27;
2475000;"Powiat m. Sosnowiec";6,69;6,13;
