Kod;Nazwa;Urodzenia;Wynagrodzenia;Urbanizacja;Wydatki;Fem;Unemp;Ludnosc;Malzenstwa
1435000;Powiat wyszkowski;10,08;82,8;35,5;45785275,58;102;3,6;71276;4,1
1436000;Powiat zwole_ski;7,66;84,1;21;13083597,11;101;13;37685;4,2
1437000;Powiat _uromi_ski;7,46;80,4;32,7;26924377,5;103;15;40987;4,7
1438000;Powiat _yrardowski;8,88;95,5;61,5;36514552,84;108;8,5;74817;4,4
1461000;Powiat m. Ostro__ka;7,69;99,5;100;36514552,84;112;7,6;54238;4
1462000;Powiat m. P_ock;7,17;117,8;100;36514552,84;113;6;128361;4
1463000;Powiat m. Radom;7,27;92,2;100;36514552,84;111;9,4;229699;3,8
1464000;Powiat m. Siedlce;10,59;93;100;36514552,84;111;4;76656;3,9
1465000;Powiat m. st. Warszawa;9,71;127,4;100;36514552,84;117;1,5;1689201;4,7
1601000;Powiat brzeski;6,59;85,4;54,6;43315216,36;105;7,9;92857;3,6
1602000;Powiat g_ubczycki;5,66;89,2;46,8;13850803,92;103;10;51795;3,6
1603000;Powiat k_dzierzy_sko-kozielski;6,51;100,8;63,4;54096982,04;108;7,4;104728;3,8
1604000;Powiat kluczborski;7,24;84,7;50,3;35336264,38;104;6,9;71464;4
1605000;Powiat krapkowicki;6,89;95,8;53,6;16366430,14;107;5,1;70081;3,6
1606000;Powiat namys_owski;7,15;86,9;40,1;23477614,54;104;8,9;44481;3,4
1607000;Powiat nyski;6,24;85,3;53,1;69751067,76;106;7,3;148059;3,5
1608000;Powiat oleski;7,98;82,4;36;30910409,28;105;4,4;69981;4
1609000;Powiat opolski;7,39;85,6;16,7;21842666,81;105;5,7;136572;3,4
1610000;Powiat prudnicki;6,27;81,5;52;27033957,51;108;9,1;61897;3,7
1611000;Powiat strzelecki;8,1;90,7;43,5;35024745,69;105;4,4;83182;4,3
1661000;Powiat m. Opole;8,93;97,8;100;35024745,69;114;3,1;129946;3,5
1801000;Powiat bieszczadzki;6,76;85,7;41;9413519,41;103;15,7;22326;4
1802000;Powiat brzozowski;8,53;75,3;11,4;26525815,06;102;21,5;65533;4,5
